Anode Mass Flow Rate [mg/s],Thrust [mN],Cathode Keeper Voltage [V],Discharge Voltage [V],Discharge Current [A],Beam Current [A],Electromagnetic Inner Coil Current [A],Electromagnetic Outer Coil Current [A],
18.8,12.3,0,300,0.679,0.390109091,4,1.6,
18.8,13.6,0,350,0.686,0.385527273,4.5,2,
18.8,14.7,0,400,0.692,0.385527273,5,2,
18.8,15.7,0,450,0.693,0.385527273,5.6,2,
18.8,16.6,0,500,0.695,0.390109091,6,1.7,
18.8,6.95,0,170,0.645,0.385527273,3.2,1.5,
18.8,8.5,0,200,0.661,0.385527273,3.2,1.6,
18.8,10.45,0,250,0.675,0.387709091,3.2,1.6,
18.8,11.2,0,275,0.679,0.387709091,3.2,1.6,
18.8,11.8,0,300,0.672,0.387709091,4,1.6,
18.8,13,0,350,0.674,0.387709091,4.5,2,
18.8,14.15,0,400,0.678,0.387709091,5,2,
18.8,15.1,0,450,0.682,0.387709091,5.6,2,
18.8,16,0,500,0.686,0.387709091,6,2,
24.2,12.7,0,200,0.944,0.385527273,3.2,1.6,
24.2,15.2,0,250,0.945,0.387709091,3.2,1.6,
24.2,16.25,0,275,0.948,0.387709091,3.2,1.6,
24.2,17.35,0,300,0.953,0.387709091,3.2,1.6,
24.2,18.95,0,350,0.952,0.385527273,3.8,1.7,
24.2,20.3,0,400,0.947,0.390109091,5,2,
24.2,21.6,0,450,0.947,0.385527273,6,2.3,
23.5,20.3,35.7,400,0.949,0.015680339,5,2,
28.2,25.05,44.7,400,1.249,0.018810053,3.2,1.4,
18.8,13.5,27,330,0.725,0.012534739,3.2,1.4,
23.5,17.75,36.8,330,0.984,0.015680339,3.4,1.4,
28.2,22.65,44,330,1.211,0.018810053,3.2,1.4,
18.8,12.55,26.8,300,0.721,0.012534739,3.2,1.4,
23.5,17.15,36.7,300,0.963,0.015680339,3.2,1.4,
28.2,20.75,44.2,300,1.199,0.018810053,3.2,1.4,
18.8,11.8,26.5,275,0.713,0.012534739,3.2,1.4,
23.5,15.85,35.7,275,0.955,0.015680339,3.2,1.4,
28.2,19.85,44,275,1.181,0.018810053,3.2,1.4,
18.8,11.7,78,275,0.732,0.014347636,3.2,1.4,
18.8,12.3,78,300,0.738,0.014504727,3.2,1.4,
18.8,13,78,330,0.736,0.014242909,3.2,1.4,
23.5,15.5,76,275,0.959,0.018641455,3.2,1.4,
23.5,16.3,76,300,0.969,0.018903273,3.2,1.4,
23.5,17.2,76,330,0.976,0.018798545,3.2,1.4,
28.2,19.8,75,275,1.219,0.023354182,3.2,1.4,
28.2,19.6,75,275,1.205,0.023301818,3.2,1.4,
28.2,18.7,75,300,1.215,0.023249455,3.2,1.4,
28.2,21.95,75,330,1.217,0.023144727,3.2,1.4,
28.5,19.3,52.3,320,1.094,0.912,4.1,3.6,
28.5,21.45,52.3,375,1.067,0.903709091,4.1,2.75,
28.5,22.6,52.3,418,1.076,0.925745455,4.1,2.75,
28.5,20.05,52.3,328,1.069,0.890181818,4.1,2.75,
28.5,16.5,53.3,250,1.14,0.884509091,2.29,1,
28.5,16.5,53.3,250,1.11,0.874909091,2.74,1.2,
28.5,16.6,53.3,250,1.08,0.8664,3.2,1.4,
28.5,16.55,53.3,250,1.065,0.864,3.65,1.6,
28.5,15.05,53.3,250,1.06,0.868363636,4.11,1.8,
41.2,22.6,62.4,200,1.75,1.406836364,3.2,1.4,
43.1,23.25,62.5,200,1.75,1.443272727,4.11,1.8,
45.9,25.4,61.8,200,2,1.62,3.2,1.4,
47.6,26.3,61.7,200,2,1.663418182,4.11,1.8,
50.2,28,61,200,2.25,1.820290909,3.2,1.4,
52.3,28.65,60.8,200,2.25,1.870036364,4.11,1.8,
19,8.15,68.2,190,0.634,0.473018182,2.29,1,
21.4,7.05,66.8,140,0.79,0.518618182,2.29,1,
23.8,6.65,65.9,115,0.915,0.538472727,2.29,1,
26.2,5.85,64.9,95,1.06,0.528,2.29,1,
28.5,4.75,64.5,80,1.135,0.453818182,2.29,1,
30.9,3.8,65.1,75,1.02,0.392290909,2.29,1,
23.8,7.7,66.3,140,0.866,0.586909091,2.74,1.2,
28.5,4.85,64.2,90,1.164,0.539345455,2.74,1.2,
22.8,13.5,53,362,0.966,0.753381818,2.9,1.45,
22.8,13.7,53,372,0.941,0.7392,3.2,1.4,
22.8,13.7,53,370,0.95,0.763636364,3.5,1.7,
25.8,14.85,53,312,1.123,0.888,2.9,1.45,
25.8,15.05,53,315,1.114,0.890181818,3.2,1.4,
28.9,16,53,276,1.268,1.011272727,2.9,1.45,
28.9,16.2,53,280,1.252,1.004727273,3.2,1.4,
31.9,16.45,53,246,1.425,1.123636364,2.9,1.45,
31.9,16.6,53,247.5,1.415,1.120363636,3.2,1.4,
25.8,15.4,53,351,1.142,0.871636364,3.2,1.4,
25.8,16.75,53,407,1.106,0.870763636,3,1.4,
25.8,14.85,53,326,1.073,0.839345455,3.2,1.4,
25.8,14.9,53,315,1.11,0.882327273,3.1,1.5,
25.8,13.85,53,290,1.097,0.872727273,3.1,1.5,
25.8,16,53,356,1.125,0.886909091,2.9,1.5,
25.8,16.65,53,398,1.133,0.904363636,2.8,1.5,
28.9,15.95,53,276,1.268,1.009527273,2.9,1.4,
28.9,17.25,53,310,1.292,1.0272,2.9,1.55,
28.9,18.75,53,346,1.3,1.029818182,2.9,1.55,
28.9,15.35,54,250,1.28,1.018909091,3.2,1.4,
28.9,14.85,54,250,1.293,1.008,3.2,1.4,
28.9,14.8,54,250,1.29,1.008,3.2,1.4,
28.9,15.15,54,250,1.366,1.016727273,2.29,1,
28.9,14.75,54,250,1.32,1.014545455,2.74,1.2,
28.9,14.65,54,250,1.29,1.000363636,3.2,1.4,
28.9,14.55,54,250,1.253,0.994909091,3.65,1.6,
