Propellent atomic Mass [amu], Ionization Energy [eV], Dissociation Energy [eV], Anode Mass Flow Rate [SCCM], Discharge Voltage [V], Cathode Mass Flow Rate [SCCM], Cathode Keeper Voltage [V], Beam Current [A], Thrust [mN], Discharge Current [A], Electromagnetic Inner Coil Current [A], Electromagnetic Outer  Coil Current [A]
131.293,12.1,NaN,8.88,275,2.5,NaN,0.632290909,13.55,0.804,1.85,2.25
131.293,12.1,NaN,8.88,275,2.5,NaN,0.642763636,14.1,0.824,3.2,1.4
131.293,12.1,NaN,9.87,275,2.5,NaN,0.720436364,15.6,0.912,1.85,2.25
131.293,12.1,NaN,9.87,275,2.5,NaN,0.728945455,16.3,0.933,3.2,1.4
131.293,12.1,NaN,10.85,275,2.5,NaN,0.817090909,17.55,1.019,1.85,2.25
131.293,12.1,NaN,10.85,275,2.5,NaN,0.821018182,18.4,1.043,3.2,1.4
131.293,12.1,NaN,11.84,275,2.5,NaN,0.901090909,19.7,1.121,1.85,2.25
131.293,12.1,NaN,11.84,275,2.5,NaN,0.896945455,20.4,1.148,3.2,1.4
131.293,12.1,NaN,6.2,300,2.5,NaN,0.406472727,8.45,0.527,1.85,2.25
131.293,12.1,NaN,6.2,300,2.5,NaN,0.406036364,9.15,0.54,3.2,1.4
131.293,12.1,NaN,6.92,300,2.5,NaN,0.455563636,10.25,0.6,1.85,2.25
131.293,12.1,NaN,6.92,300,2.5,NaN,0.471490909,10.85,0.622,3.2,1.4
131.293,12.1,NaN,7.89,300,2.5,NaN,0.541090909,12.15,0.699,1.85,2.25
131.293,12.1,NaN,7.89,300,2.5,NaN,0.557454545,12.8,0.726,3.2,1.4
131.293,12.1,NaN,8,300,2.5,NaN,0.550254545,12.5,0.71,1.85,2.25
131.293,12.1,NaN,8,300,2.5,NaN,0.564218182,13.05,0.736,3.2,1.4
131.293,12.1,NaN,8.88,300,2.5,NaN,0.630545455,14.2,0.807,1.85,2.25
131.293,12.1,NaN,8.88,300,2.5,NaN,0.643636364,14.9,0.829,3.2,1.4
131.293,12.1,NaN,9.87,300,2.5,NaN,0.718690909,16.3,0.915,1.85,2.25
131.293,12.1,NaN,9.87,300,2.5,NaN,0.723272727,17,0.922,3.2,1.4
131.293,12.1,NaN,10.85,300,2.5,NaN,0.806181818,18.4,1.033,1.85,2.25
131.293,12.1,NaN,10.85,300,2.5,NaN,0.805309091,19.3,1.041,3.2,1.4
131.293,12.1,NaN,11.84,300,2.5,NaN,0.922690909,20.7,1.174,1.85,2.25
131.293,12.1,NaN,11.84,300,2.5,NaN,0.922036364,21.95,1.173,3.2,1.4
131.293,12.1,NaN,6.2,330,2.5,NaN,0.401454545,9.55,0.54,1.85,2.25
131.293,12.1,NaN,6.2,330,2.5,NaN,0.425454545,9.9,0.604,3,1.4
131.293,12.1,NaN,6.92,330,2.5,NaN,0.455563636,10.9,0.604,1.85,2.25
